,pol_lat,pol_lon,Cluster
612,39.987474,-77.0987794,0
612,39.03034667,-77.12639667,1
612,38.98357,-77.09303667,1
613,39.0788345,-76.9488635,2
613,39.08279448,-76.94310653,2
613,39.07775042,-76.94817781,2
613,38.353495,-77.47726333,1
613,39.08716744,-76.93998216,2
613,39.08381333,-76.94143833,2
613,39.08643255,-76.9400239,2
613,39.08591333,-76.94044833,2
613,39.08445297,-76.94060382,2
613,39.07829333,-76.943575,2
613,39.08452133,-76.94062471,2
613,39.10616167,-76.91625667,2
613,39.08481943,-76.94045784,2
613,39.04517667,-76.99024667,2
623,39.0172642,-76.99557354,2
623,39.01599167,-76.97741833,2
623,39.00961,-76.98436,2
623,39.01611612,-76.97747558,2
623,39.0160536,-76.97750106,2
623,39.03765,-76.97141667,2
623,39.03619833,-76.972535,2
623,39.02226667,-76.97675333,2
623,39.016535,-76.97711167,2
623,39.03711167,-76.97408167,2
623,39.04116277,-76.98640652,2
623,39.023225,-76.97801167,2
623,39.00807,-76.98004667,2
623,39.02413,-76.97929667,2
623,39.01534833,-76.97611167,2
623,39.04566517,-76.9910695,2
623,39.01507,-76.97660167,2
623,39.05020333,-76.97297667,2
623,39.01808833,-76.97703833,2
623,39.046435,-76.96702167,2
623,39.04582833,-76.98861,2
623,39.015773,-76.98125417,2
623,39.04573167,-76.99053167,2
623,39.03016333,-76.98266667,2
623,39.019625,-77.00803833,2
623,39.0114635,-77.001181,2
623,39.02340417,-76.974085,2
623,39.06157017,-76.99130833,2
623,39.02224031,-76.97744345,2
623,39.02232833,-76.97617167,2
623,39.01554406,-76.97787523,2
623,39.04549167,-76.99039167,2
623,39.02342163,-76.97835662,2
623,39.03304933,-77.0015725,2
623,39.01841333,-76.97666,2
623,39.02065333,-77.00888667,2
623,39.04392033,-76.9920415,2
623,39.041715,-76.99492667,2
623,39.03223605,-76.98580384,2
623,39.04579,-76.99095833,2
623,39.03426167,-77.00120167,2
623,39.22970833,-77.23670667,0
623,39.020645,-76.97457667,2
623,39.046635,-76.98782,2
623,39.045175,-76.990525,2
623,39.23280167,-77.2437,0
623,39.02660801,-76.98140952,2
623,39.02747733,-76.982169,2
623,39.015575,-76.99395167,2
623,39.02112833,-77.008165,2
623,39.02244167,-76.97767833,2
623,39.02699333,-76.98171,2
623,38.97262692,-77.022003,2
623,39.02863333,-76.98350667,2
623,39.046145,-76.99071167,2
623,39.03010784,-76.98367991,2
623,39.03834983,-76.99013533,2
623,39.0418,-76.98855667,2
623,39.03408,-77.00080833,2
623,39.03823663,-76.99002994,2
623,39.02617833,-77.03539,2
623,39.22347333,-77.25969833,0
623,39.04555,-76.990785,2
623,39.042235,-76.993695,2
623,39.0411725,-76.99006217,2
623,39.0409135,-76.9910825,2
623,39.02182,-76.97670833,2
623,39.031583,-77.00524167,2
623,39.02676167,-76.98195,2
623,39.04803333,-76.99132667,2
623,39.06935,-76.95552833,2
623,38.97404029,-76.99591041,2
623,39.04222633,-76.98885767,2
623,39.04170292,-76.98393703,2
623,39.038275,-76.99441667,2
623,39.04111217,-76.9870785,2
623,39.04582833,-76.99015167,2
623,39.04003631,-76.99542761,2
623,39.01467833,-77.09955167,1
623,39.04619333,-76.98565667,2
623,39.0410885,-76.987243,2
623,39.05316,-76.963005,2
623,39.04540333,-76.99151667,2
623,39.04118167,-76.986635,2
623,39.04207833,-76.98828,2
623,39.0442375,-76.9922355,2
623,39.11322833,-76.93257667,2
623,39.05603763,-76.95429638,2
623,39.04579167,-76.98062667,2
623,39.04552833,-76.98999167,2
623,39.0482701,-76.9930832,2
623,39.04226667,-76.98699167,2
623,39.03745717,-76.98939367,2
623,39.04124167,-76.98554833,2
623,39.04392167,-76.99068333,2
623,39.04323167,-76.98278333,2
623,39.039405,-76.99220667,2
623,39.05324833,-76.96290833,2
623,39.04491333,-76.99232833,2
623,39.04512224,-76.99248176,2
623,39.04003167,-76.98979667,2
623,39.004363,-76.996607,2
623,39.04137567,-76.98476633,2
623,39.04100167,-76.98393333,2
623,39.03937667,-76.99011167,2
